source,category,concept,label,year,docs,docs_raw,in_domain_total,share_pct,est_docs,partial_year
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2014,684.45,199,54786.3744,1.249315615265629,684.5,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2015,620.68,597,55077.7396,1.1269180698185446,620.7,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2016,616.0,616,57084.42108421685,1.0791035247448915,616.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2017,466.0,466,57757.9259,0.8068156754915605,466.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2018,672.0,672,73253.68136813681,0.9173600390441268,672.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2019,937.0,937,88107.50975097509,1.0634734798978134,937.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2020,807.0,807,90339.0211,0.8933016875472873,807.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2021,818.0,818,84263.3604,0.9707659368400883,818.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2022,778.0,778,79238.312,0.9818482756169767,778.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2023,1107.0,1107,84011.304,1.317679820801258,1107.0,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2024,1407.23,463,90252.2958,1.5592209421639613,1407.2,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2025,1675.32,1626,98690.00020002,1.6975600330373732,1675.3,False
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",2026,1252.0,1252,65841.26795359072,1.901542966764389,1252.0,True
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2014,409.86,243,54786.3744,0.7481057187825156,409.9,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2015,430.27,247,55077.7396,0.781212161437361,430.3,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2016,528.23,303,57084.42108421685,0.9253487903831099,528.2,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2017,576.2,321,57757.9259,0.9976033436477677,576.2,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2018,827.07,463,73253.68136813681,1.129052244046113,827.1,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2019,1158.06,662,88107.50975097509,1.3143699895046104,1158.1,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2020,1014.97,602,90339.0211,1.123514498653349,1015.0,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2021,1008.58,650,84263.3604,1.1969417413992909,1008.6,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2022,1074.86,776,79238.312,1.3564897998752123,1074.9,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2023,1281.42,849,84011.304,1.5252995001720333,1281.4,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2024,1369.96,875,90252.2958,1.5179207589014216,1370.0,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2025,1647.88,893,98690.00020002,1.6697564731247796,1647.9,False
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,2026,1160.07,886,65841.26795359072,1.761918276165401,1160.1,True
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2014,37.42,33,54786.3744,0.06830799610550092,37.4,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2015,34.67,31,55077.7396,0.06294436479258368,34.7,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2016,25.74,5,57084.42108421685,0.04508857574162111,25.7,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2017,48.67,46,57757.9259,0.08426202852966366,48.7,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2018,102.87,100,73253.68136813681,0.14042525200844116,102.9,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2019,197.68,191,88107.50975097509,0.22436793476371253,197.7,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2020,210.0,210,90339.0211,0.2324576882093313,210.0,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2021,249.0,249,84263.3604,0.2955021005784621,249.0,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2022,254.0,254,79238.312,0.32055200772070963,254.0,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2023,452.0,452,84011.304,0.5380228355936482,452.0,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2024,595.0,595,90252.2958,0.6592630079112071,595.0,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2025,799.6,756,98690.00020002,0.810209746052716,799.6,False
all,Advanced packaging,Chiplet,Chiplet / disaggregation,2026,553.0,553,65841.26795359072,0.8398987704638237,553.0,True
all,Advanced packaging,CoWoS,CoWoS,2014,1.0,1,54786.3744,0.0018252713579820314,1.0,False
