source,concept_a,concept_b,docs_both,docs_a,docs_b,in_domain,lift,jaccard
all,Neuromorphic,RRAM,5854,20591,22018,978703.2135569395,12.637129222082264,0.159270847503741
all,CIM,RRAM,2825,6670,22018,978703.2135569395,18.82633425519746,0.10922940107489464
all,3DIC,Chiplet,1547,10338,3475,978703.2135569395,42.145381678339334,0.1261209848361324
all,EUV,Resist,1386,4563,6332,978703.2135569395,46.94862415375167,0.14575665159322748
all,CIM,Neuromorphic,1061,6670,20591,978703.2135569395,7.56071949152843,0.04049618320610687
all,3DIC,FanOut,1018,10338,2255,978703.2135569395,42.73814992932729,0.08794816414686825
all,FinFET,Node,840,9027,770,978703.2135569395,118.27586495748385,0.0937814000223289
all,3DIC,HybridBonding,733,10338,1658,978703.2135569395,41.853707505216136,0.06508035159371393
all,CIM,DRAM,608,6670,7891,978703.2135569395,11.305680713868497,0.0435748584533792
all,FinFET,GAA,608,9027,1081,978703.2135569395,60.97972439374437,0.064
all,3DIC,CPO,575,10338,7770,978703.2135569395,7.005857708241865,0.032795300290880056
all,Ga2O3,GaN,575,10440,11273,978703.2135569395,4.781661772417601,0.027202195098874067
all,EUV,HighNA,568,4563,730,978703.2135569395,166.88835010022294,0.12021164021164021
all,GaN,SiC,563,11273,17753,978703.2135569395,2.7532658566438872,0.019780065347995642
all,FeFET,Neuromorphic,495,5051,20591,978703.2135569395,4.658020613718365,0.0196842565713604
all,Chiplet,FanOut,489,3475,2255,978703.2135569395,61.07430285113413,0.0933028048082427
all,3DIC,HBM,488,10338,1529,978703.2135569395,30.21529391054474,0.042886018103524035
all,CPO,Photonic-computing,481,7770,1341,978703.2135569395,45.18000701764928,0.05573580533024334
all,3DIC,GlassSubstrate,474,10338,615,978703.2135569395,72.96552512492224,0.04523332379043802
all,AIAccel,CIM,472,2307,6670,978703.2135569395,30.020614972024745,0.055496766607877716
all,CIM,FeFET,426,6670,5051,978703.2135569395,12.375347734228002,0.037715803452855245
all,CIM,MRAM,421,6670,3117,978703.2135569395,19.818485988356713,0.04494981849241939
all,FeFET,FeRAM,403,5051,1722,978703.2135569395,45.34668507396986,0.06326530612244897
all,Neuromorphic,Photonic-computing,382,20591,1341,978703.2135569395,13.53967253413861,0.017726218097447795
all,2D-channel,Neuromorphic,376,2765,20591,978703.2135569395,6.463478150093477,0.01636205395996519
all,DRAM,PCM,369,7891,2848,978703.2135569395,16.06961056662256,0.035583413693346194
all,3DIC,DRAM,358,10338,7891,978703.2135569395,4.295022761805264,0.02003245481506351
all,Neuromorphic,OxideSemi,345,20591,5345,978703.2135569395,3.0679265740142503,0.013481302020241491
all,GAA,Node,332,1081,770,978703.2135569395,390.3666240985426,0.2185648452929559
all,DRAM,HBM,331,7891,1529,978703.2135569395,26.849702580867973,0.03641764770601826
all,CPO,Chiplet,303,7770,3475,978703.2135569395,10.982919871031458,0.027691464083348567
all,CompLitho,EUV,297,853,4563,978703.2135569395,74.68062840601799,0.05801914436413362
all,EUV,Node,296,4563,770,978703.2135569395,82.45206395110704,0.05876513797895573
all,FeFET,FinFET,287,5051,9027,978703.2135569395,6.160445219936259,0.02081067362772823
all,AIAccel,RRAM,283,2307,22018,978703.2135569395,5.4527048196452155,0.011771067298893602
all,MRAM,RRAM,281,3117,22018,978703.2135569395,4.007215186429991,0.011306027198841233
all,GAA,TFET,275,1081,3431,978703.2135569395,72.56668702165092,0.06490441350011801
all,Neuromorphic,PCM,271,20591,2848,978703.2135569395,4.522753117190575,0.011697168508287293
all,3DIC,CIM,268,10338,6670,978703.2135569395,3.8038505592424303,0.016009557945041816
all,AIAccel,Neuromorphic,256,2307,20591,978703.2135569395,5.274313575890867,0.011306421694196626
all,2D-channel,FeFET,248,2765,5051,978703.2135569395,17.379216402253686,0.03276955602536998
all,FinFET,HKMG,247,9027,2316,978703.2135569395,11.562878709322238,0.02226027397260274
all,3DNAND,DRAM,233,3431,7891,978703.2135569395,8.42275511121037,0.021011813508882676
all,PCM,RRAM,228,2848,22018,978703.2135569395,3.5585085117249284,0.009253997889439078
all,CIM,PCM,227,6670,2848,978703.2135569395,11.695291547208766,0.024432246259821332
all,AIAccel,DRAM,226,2307,7891,978703.2135569395,12.150098970595534,0.022663457681508223
all,FeRAM,Neuromorphic,224,1722,20591,978703.2135569395,6.182846249786702,0.01014079406039205
all,DRAM,OxideSemi,222,7891,5345,978703.2135569395,5.151387690245938,0.01705855232826187
all,Chiplet,HBM,207,3475,1529,978703.2135569395,38.12932046737398,0.043151969981238276
all,3DIC,GaN,206,10338,11273,978703.2135569395,1.7299844514929623,0.009623919644942771
all,3DIC,RRAM,203,10338,22018,978703.2135569395,0.8728360133635307,0.006313563275588592
all,CPO,Neuromorphic,201,7770,20591,978703.2135569395,1.2295568519423796,0.007137784090909091
all,3DIC,Neuromorphic,198,10338,20591,978703.2135569395,0.9103370911159396,0.006443005434252058
all,FeFET,RRAM,192,5051,22018,978703.2135569395,1.6896509900309635,0.007143654425717156
all,HighNA,Resist,192,730,6332,978703.2135569395,40.65261403329303,0.02794759825327511
all,3DIC,OxideSemi,191,10338,5345,978703.2135569395,3.382985561173142,0.012328943971081849
all,CFET,GAA,183,698,1081,978703.2135569395,237.3673533750718,0.11466165413533834
all,Chiplet,HybridBonding,180,3475,1658,978703.2135569395,30.57624744040217,0.03634161114476075
all,EUV,MultiPatterning,177,4563,560,978703.2135569395,67.7931454868266,0.0357864941366761
all,OxideSemi,RRAM,177,5345,22018,978703.2135569395,1.471969135547642,0.006510704038843522
all,DRAM,RRAM,176,7891,22018,978703.2135569395,0.9914110870729352,0.0059193488716241215
all,FeRAM,RRAM,175,1722,22018,978703.2135569395,4.517290793660229,0.007426267769997878
all,GAA,HKMG,174,1081,2316,978703.2135569395,68.01990383388832,0.053986968662736584
all,Chiplet,UCIe,168,3475,216,978703.2135569395,219.05427641562196,0.04768663071246097
all,FinFET,GaN,168,9027,11273,978703.2135569395,1.6157618383263117,0.008344923504867872
all,FeFET,TFET,167,5051,3431,978703.2135569395,9.43125307892772,0.020084185207456404
all,DRAM,MRAM,164,7891,3117,978703.2135569395,6.5256836550445305,0.015123570638140908
all,2D-channel,TFET,162,2765,3431,978703.2135569395,16.71283690890094,0.02684786211468346
all,3DIC,AIAccel,158,10338,2307,978703.2135569395,6.483715930042938,0.012653159285657084
all,2D-channel,RRAM,157,2765,22018,978703.2135569395,2.523932080039716,0.006375375619264192
all,Ga2O3,SiC,156,10440,17753,978703.2135569395,0.8237650477232091,0.005564076042372579
all,2D-channel,HKMG,154,2765,2316,978703.2135569395,23.5362920555439,0.03125634260198904
all,Ga2O3,Neuromorphic,145,10440,20591,978703.2135569395,0.6601476464616011,0.004694683675451661
all,3DIC,FinFET,144,10338,9027,978703.2135569395,1.5101967667235314,0.007491805837365382
all,AIAccel,Chiplet,144,2307,3475,978703.2135569395,17.5796855678151,0.02554097197587797
all,GaN,HKMG,139,11273,2316,978703.2135569395,5.2106002085015595,0.01033457249070632
all,FeFET,GAA,138,5051,1081,978703.2135569395,24.73586136868468,0.023023023023023025
all,FeFET,OxideSemi,132,5051,5345,978703.2135569395,4.78519750331524,0.012860483242400623
all,Node,Resist,132,770,6332,978703.2135569395,26.496793075271352,0.018938307030129126
all,FeFET,HKMG,128,5051,2316,978703.2135569395,10.708904864277995,0.017682000276281255
all,FinFET,TFET,127,9027,3431,978703.2135569395,4.01319788559227,0.010299245803260077
all,3DIC,Node,126,10338,770,978703.2135569395,15.491529787742408,0.011473319978146056
all,FanOut,GlassSubstrate,122,2255,615,978703.2135569395,86.0972307637565,0.04439592430858806
all,Ga2O3,OxideSemi,116,10440,5345,978703.2135569395,2.0345145277142493,0.007403152721935031
all,FanOut,HBM,112,2255,1529,978703.2135569395,31.791791779731465,0.030501089324618737
all,CIM,FeRAM,110,6670,1722,978703.2135569395,9.373131682526624,0.013281815986476696
all,CIM,HBM,110,6670,1529,978703.2135569395,10.55626733637073,0.013598714303374953
all,CompLitho,Resist,108,853,6332,978703.2135569395,19.56972993835985,0.01526070368800339
all,DRAM,FeFET,108,7891,5051,978703.2135569395,2.6519501606776377,0.008415147265077139
all,3DIC,GAA,106,10338,1081,978703.2135569395,9.283134819872366,0.009369751613188367
all,DRAM,FeRAM,105,7891,1722,978703.2135569395,7.562669524380504,0.011043331931005469
all,FanOut,HybridBonding,105,2255,1658,978703.2135569395,27.485854360228483,0.027573529411764705
all,3DIC,UCIe,104,10338,216,978703.2135569395,45.58207324376881,0.009952153110047848
all,MRAM,Neuromorphic,104,3117,20591,978703.2135569395,1.5858792353880231,0.004406032875783766
all,MultiPatterning,Resist,101,560,6332,978703.2135569395,27.87683438127507,0.014872625533794728
all,AIAccel,HBM,100,2307,1529,978703.2135569395,27.745715858294034,0.02676659528907923
all,HKMG,OxideSemi,100,2316,5345,978703.2135569395,7.906144537749673,0.013225763787858748
all,HKMG,TFET,99,2316,3431,978703.2135569395,12.193459378819375,0.017528328611898018
all,2D-channel,3DIC,97,2765,10338,978703.2135569395,3.3211698379588404,0.007458096263263109
all,Ga2O3,RRAM,97,10440,22018,978703.2135569395,0.4129946088824536,0.002997435184326813
