source,term,recent_df,prior_df,recent_share_pct,prior_share_pct,growth_ratio,score,covered_by,recent_years,prior_years
all,findings highlight,142,0,0.5146978868389576,0.0,138.29566131429192,24.46381588142163,,2023-2025,2020-2022
all,underscore,136,0,0.49295008880350866,0.0,132.49443618833592,24.041686808568656,,2023-2025,2020-2022
all,highlight the potential,116,0,0.4204574286853456,0.0,113.15701910181593,22.5192557334503,,2023-2025,2020-2022
all,showcasing,115,0,0.4168327956794375,0.0,112.19014824748994,22.43787352654481,,2023-2025,2020-2022
all,necessitating,103,0,0.37333719960853967,0.0,100.58769799557797,21.415425599827884,,2023-2025,2020-2022
all,delves,99,0,0.358838667584907,0.0,96.72021457827395,21.05402032657539,,2023-2025,2020-2022
all,garnered significant,87,0,0.3153430715140092,0.0,85.11776432636196,19.897444914384145,,2023-2025,2020-2022
all,ai-driven,82,0,0.29721990648446844,0.0,80.28341005473196,19.379103872629734,,2023-2025,2020-2022
all,underscoring,80,0,0.28997064047265214,0.0,78.34966834607997,19.16499139232016,,2023-2025,2020-2022
all,face challenges,79,0,0.286346007466744,0.0,77.38279749175396,19.05640187246733,,2023-2025,2020-2022
all,findings underscore,75,0,0.2718474754431114,0.0,73.51531407444996,18.611299416329985,,2023-2025,2020-2022
all,remains a significant,75,0,0.2718474754431114,0.0,73.51531407444996,18.611299416329985,,2023-2025,2020-2022
all,highlighting their,72,0,0.26097357642538693,0.0,70.61470151147196,18.265508512853184,,2023-2025,2020-2022
all,valuable insights,227,7,0.8227916923411506,0.026241799437675725,27.559960491500238,18.005686455828613,,2023-2025,2020-2022
all,foundational,60,0,0.21747798035448912,0.0,59.01225125955998,16.763095636382655,,2023-2025,2020-2022
all,showcases,60,0,0.21747798035448912,0.0,59.01225125955998,16.763095636382655,,2023-2025,2020-2022
all,holds significant,59,0,0.21385334734858097,0.0,58.045380405233985,16.62805500811974,,2023-2025,2020-2022
all,llms,57,0,0.20660408133676467,0.0,56.11163869658198,16.352797768433366,,2023-2025,2020-2022
all,highlights the potential,56,0,0.20297944833085652,0.0,55.14476784225598,16.212481421656296,,2023-2025,2020-2022
all,workflows,56,0,0.20297944833085652,0.0,55.14476784225598,16.212481421656296,,2023-2025,2020-2022
all,garnered significant attention,55,0,0.19935481532494834,0.0,54.17789698792998,16.070302953428765,,2023-2025,2020-2022
all,generative ai,55,0,0.19935481532494834,0.0,54.17789698792998,16.070302953428765,,2023-2025,2020-2022
all,development of next-generation,54,0,0.19573018231904019,0.0,53.21102613360398,15.926206558142187,,2023-2025,2020-2022
all,faces challenges,54,0,0.19573018231904019,0.0,53.21102613360398,15.926206558142187,,2023-2025,2020-2022
all,have garnered significant,54,0,0.19573018231904019,0.0,53.21102613360398,15.926206558142187,,2023-2025,2020-2022
all,metrics including,53,0,0.19210554931313203,0.0,52.24415527927797,15.780133776711077,,2023-2025,2020-2022
all,aligning,53,0,0.19210554931313203,0.0,52.24415527927797,15.780133776711077,,2023-2025,2020-2022
all,holds promise,53,0,0.19210554931313203,0.0,52.24415527927797,15.780133776711077,,2023-2025,2020-2022
all,aligns,52,0,0.18848091630722388,0.0,51.27728442495198,15.632023321859833,,2023-2025,2020-2022
all,underscores,169,7,0.6125629779984777,0.026241799437675725,20.550146797636742,15.524841183034601,,2023-2025,2020-2022
all,federated learning,50,0,0.1812316502954076,0.0,49.34354271629998,15.329428948287125,,2023-2025,2020-2022
all,offer a promising,50,0,0.1812316502954076,0.0,49.34354271629998,15.329428948287125,,2023-2025,2020-2022
all,strategically,49,0,0.17760701728949943,0.0,48.376671861973975,15.174806524704975,,2023-2025,2020-2022
all,variational autoencoders,49,0,0.17760701728949943,0.0,48.376671861973975,15.174806524704975,,2023-2025,2020-2022
all,meticulously,49,0,0.17760701728949943,0.0,48.376671861973975,15.174806524704975,,2023-2025,2020-2022
all,revolutionizing,49,0,0.17760701728949943,0.0,48.376671861973975,15.174806524704975,,2023-2025,2020-2022
all,significant advancements,48,0,0.17398238428359128,0.0,47.40980100764797,15.017868949899812,,2023-2025,2020-2022
all,revolutionized,48,0,0.17398238428359128,0.0,47.40980100764797,15.017868949899812,,2023-2025,2020-2022
all,address these limitations,48,0,0.17398238428359128,0.0,47.40980100764797,15.017868949899812,,2023-2025,2020-2022
all,unlock,47,0,0.17035775127768313,0.0,46.44293015332198,14.858537597862965,,2023-2025,2020-2022
all,gained significant attention,47,0,0.17035775127768313,0.0,46.44293015332198,14.858537597862965,,2023-2025,2020-2022
all,pose significant,46,0,0.16673311827177498,0.0,45.47605929899598,14.696729593363438,,2023-2025,2020-2022
all,characteristics including,45,0,0.16310848526586683,0.0,44.50918844466998,14.532357493146382,,2023-2025,2020-2022
all,enabling efficient,45,0,0.16310848526586683,0.0,44.50918844466998,14.532357493146382,,2023-2025,2020-2022
all,language models llms,45,0,0.16310848526586683,0.0,44.50918844466998,14.532357493146382,,2023-2025,2020-2022
all,significant implications,44,0,0.15948385225995867,0.0,43.54231759034398,14.365328936250068,,2023-2025,2020-2022
all,outperforms existing,44,0,0.15948385225995867,0.0,43.54231759034398,14.365328936250068,,2023-2025,2020-2022
all,heightened,44,0,0.15948385225995867,0.0,43.54231759034398,14.365328936250068,,2023-2025,2020-2022
all,pixel-level,43,0,0.15585921925405055,0.0,42.57544673601798,14.19554625974933,,2023-2025,2020-2022
all,stands out,43,0,0.15585921925405055,0.0,42.57544673601798,14.19554625974933,,2023-2025,2020-2022
all,outlining,43,0,0.15585921925405055,0.0,42.57544673601798,14.19554625974933,,2023-2025,2020-2022
all,marking,43,0,0.15585921925405055,0.0,42.57544673601798,14.19554625974933,,2023-2025,2020-2022
all,challenges related,42,0,0.15223458624814237,0.0,41.60857588169198,14.022906075704812,,2023-2025,2020-2022
all,explainable,42,0,0.15223458624814237,0.0,41.60857588169198,14.022906075704812,,2023-2025,2020-2022
all,introduces an innovative,42,0,0.15223458624814237,0.0,41.60857588169198,14.022906075704812,,2023-2025,2020-2022
all,critical challenges,41,0,0.14860995324223422,0.0,40.64170502736598,13.847298804480701,,2023-2025,2020-2022
all,fostering,40,0,0.14498532023632607,0.0,39.67483417303998,13.668608158871129,,2023-2025,2020-2022
all,ultrawide bandgap,40,0,0.14498532023632607,0.0,39.67483417303998,13.668608158871129,Ga2O3,2023-2025,2020-2022
all,plays a pivotal,40,0,0.14498532023632607,0.0,39.67483417303998,13.668608158871129,,2023-2025,2020-2022
all,represents a significant,40,0,0.14498532023632607,0.0,39.67483417303998,13.668608158871129,,2023-2025,2020-2022
all,transformative potential,40,0,0.14498532023632607,0.0,39.67483417303998,13.668608158871129,,2023-2025,2020-2022
all,rapid advancement,40,0,0.14498532023632607,0.0,39.67483417303998,13.668608158871129,,2023-2025,2020-2022
all,challenges including,40,0,0.14498532023632607,0.0,39.67483417303998,13.668608158871129,,2023-2025,2020-2022
all,surpassing,151,9,0.547319583892131,0.033739456419868794,14.699749900322592,13.503339192092549,,2023-2025,2020-2022
all,findings offer,39,0,0.14136068723041792,0.0,38.70796331871398,13.486710572626707,,2023-2025,2020-2022
all,limitations of conventional,39,0,0.14136068723041792,0.0,38.70796331871398,13.486710572626707,,2023-2025,2020-2022
all,widespread adoption,39,0,0.14136068723041792,0.0,38.70796331871398,13.486710572626707,,2023-2025,2020-2022
all,underscore the potential,39,0,0.14136068723041792,0.0,38.70796331871398,13.486710572626707,,2023-2025,2020-2022
all,escalating,39,0,0.14136068723041792,0.0,38.70796331871398,13.486710572626707,,2023-2025,2020-2022
all,encompass,38,0,0.13773605422450977,0.0,37.74109246438798,13.301474565972185,,2023-2025,2020-2022
all,diffusion-based,38,0,0.13773605422450977,0.0,37.74109246438798,13.301474565972185,,2023-2025,2020-2022
all,promising avenue,38,0,0.13773605422450977,0.0,37.74109246438798,13.301474565972185,,2023-2025,2020-2022
all,limitations of traditional,38,0,0.13773605422450977,0.0,37.74109246438798,13.301474565972185,,2023-2025,2020-2022
all,attention mechanisms,38,0,0.13773605422450977,0.0,37.74109246438798,13.301474565972185,,2023-2025,2020-2022
all,achieving efficient,37,0,0.13411142121860162,0.0,36.774221610061986,13.112760039522653,,2023-2025,2020-2022
all,research focuses,37,0,0.13411142121860162,0.0,36.774221610061986,13.112760039522653,,2023-2025,2020-2022
all,them highly,37,0,0.13411142121860162,0.0,36.774221610061986,13.112760039522653,,2023-2025,2020-2022
all,underscores the potential,37,0,0.13411142121860162,0.0,36.774221610061986,13.112760039522653,,2023-2025,2020-2022
all,poses significant,37,0,0.13411142121860162,0.0,36.774221610061986,13.112760039522653,,2023-2025,2020-2022
all,seamless integration,36,0,0.13048678821269347,0.0,35.80735075573598,12.920417486600776,,2023-2025,2020-2022
ieee,facilitating,69,0,0.9865599084929941,0.0,55.87246211038033,17.092000682977364,,2023-2025,2020-2022
ieee,exceptional,65,0,0.929368029739777,0.0,52.6914498141264,16.609690147951355,,2023-2025,2020-2022
ieee,advancing,63,0,0.9007720903631684,0.0,51.10094366599943,16.360226600599677,,2023-2025,2020-2022
ieee,outperforming,63,0,0.9007720903631684,0.0,51.10094366599943,16.360226600599677,,2023-2025,2020-2022
ieee,notable,62,0,0.8864741206748641,0.0,50.30569059193595,16.233291592051465,,2023-2025,2020-2022
ieee,significant challenges,61,0,0.8721761509865599,0.0,49.51043751787247,16.10483572558154,,2023-2025,2020-2022
ieee,address these challenges,56,0,0.8006863025450386,0.0,45.534172147555054,15.438241997906854,,2023-2025,2020-2022
ieee,struggle,55,0,0.7863883328567344,0.0,44.73891907349157,15.29973299879393,,2023-2025,2020-2022
ieee,valuable insights,53,0,0.7577923934801258,0.0,43.148412925364596,15.017111384744206,,2023-2025,2020-2022
ieee,pivotal,49,0,0.7006005147269088,0.0,39.967400629110664,14.427791751634997,,2023-2025,2020-2022
ieee,making them,49,0,0.7006005147269088,0.0,39.967400629110664,14.427791751634997,,2023-2025,2020-2022
ieee,risks,45,0,0.6434086359736918,0.0,36.78638833285674,13.802741896490566,,2023-2025,2020-2022
ieee,hybrid bonding,44,0,0.6291106662853875,0.0,35.99113525879325,13.64030964570085,HybridBonding,2023-2025,2020-2022
ieee,mitigates,42,0,0.6005147269087789,0.0,34.40062911066628,13.307407543851731,,2023-2025,2020-2022
ieee,necessitating,41,0,0.5862167572204747,0.0,33.6053760366028,13.13673528654847,,2023-2025,2020-2022
ieee,underscore,38,0,0.5433228481555619,0.0,31.219616814412355,12.606486497574696,,2023-2025,2020-2022
ieee,intricate,38,0,0.5433228481555619,0.0,31.219616814412355,12.606486497574696,,2023-2025,2020-2022
ieee,specifically designed,36,0,0.5147269087789533,0.0,29.629110666285385,12.236524604071956,,2023-2025,2020-2022
ieee,non-uniform,36,0,0.5147269087789533,0.0,29.629110666285385,12.236524604071956,,2023-2025,2020-2022
ieee,cutting-edge,35,0,0.5004289390906491,0.0,28.833857592221904,12.046179189476367,,2023-2025,2020-2022
ieee,paving the way,35,0,0.5004289390906491,0.0,28.833857592221904,12.046179189476367,,2023-2025,2020-2022
ieee,influencing,34,0,0.48613096940234485,0.0,28.03860451815842,11.852045344609728,,2023-2025,2020-2022
ieee,enhancements,34,0,0.48613096940234485,0.0,28.03860451815842,11.852045344609728,,2023-2025,2020-2022
ieee,significant improvements,34,0,0.48613096940234485,0.0,28.03860451815842,11.852045344609728,,2023-2025,2020-2022
ieee,address these issues,33,0,0.47183299971404064,0.0,27.243351444094937,11.653949789108873,,2023-2025,2020-2022
ieee,deep learning dl,33,0,0.47183299971404064,0.0,27.243351444094937,11.653949789108873,,2023-2025,2020-2022
ieee,medical imaging,33,0,0.47183299971404064,0.0,27.243351444094937,11.653949789108873,,2023-2025,2020-2022
ieee,showcasing,33,0,0.47183299971404064,0.0,27.243351444094937,11.653949789108873,,2023-2025,2020-2022
ieee,contributing,33,0,0.47183299971404064,0.0,27.243351444094937,11.653949789108873,,2023-2025,2020-2022
ieee,resource utilization,32,0,0.45753503002573637,0.0,26.448098370031456,11.451706531848261,,2023-2025,2020-2022
ieee,spanning,32,0,0.45753503002573637,0.0,26.448098370031456,11.451706531848261,,2023-2025,2020-2022
ieee,fine-tuning,32,0,0.45753503002573637,0.0,26.448098370031456,11.451706531848261,,2023-2025,2020-2022
ieee,increasing demand,32,0,0.45753503002573637,0.0,26.448098370031456,11.451706531848261,,2023-2025,2020-2022
ieee,confirming,32,0,0.45753503002573637,0.0,26.448098370031456,11.451706531848261,,2023-2025,2020-2022
ieee,making it suitable,32,0,0.45753503002573637,0.0,26.448098370031456,11.451706531848261,,2023-2025,2020-2022
ieee,findings highlight,32,0,0.45753503002573637,0.0,26.448098370031456,11.451706531848261,,2023-2025,2020-2022
ieee,assessing,31,0,0.44323706033743204,0.0,25.65284529596797,11.245115569204094,,2023-2025,2020-2022
ieee,subtle,31,0,0.44323706033743204,0.0,25.65284529596797,11.245115569204094,,2023-2025,2020-2022
ieee,face challenges,31,0,0.44323706033743204,0.0,25.65284529596797,11.245115569204094,,2023-2025,2020-2022
ieee,decision-making,31,0,0.44323706033743204,0.0,25.65284529596797,11.245115569204094,,2023-2025,2020-2022
ieee,gaps,30,0,0.42893909064912783,0.0,24.85759222190449,11.033961410491376,,2023-2025,2020-2022
ieee,probabilistic,30,0,0.42893909064912783,0.0,24.85759222190449,11.033961410491376,,2023-2025,2020-2022
ieee,mean absolute,30,0,0.42893909064912783,0.0,24.85759222190449,11.033961410491376,,2023-2025,2020-2022
ieee,medical image,30,0,0.42893909064912783,0.0,24.85759222190449,11.033961410491376,,2023-2025,2020-2022
ieee,machine learning-based,30,0,0.42893909064912783,0.0,24.85759222190449,11.033961410491376,,2023-2025,2020-2022
ieee,intervention,30,0,0.42893909064912783,0.0,24.85759222190449,11.033961410491376,,2023-2025,2020-2022
ieee,element method fem,29,0,0.4146411209608235,0.0,24.062339147841005,10.81801140218795,,2023-2025,2020-2022
