source,concept,year,id,title,url,cited
all,FinFET,2024,61698072d1dfdb2ae3e38ec583b42769a0e454ab,"Review of: ""FinFET nanotransistor downscaling causes more short channel effects, less gate control, exponential increase in leakage currents, drastic process changes and unmanageable power densities""",https://doi.org/10.32388/hx4oyk,450
all,FinFET,2024,ce0e64adbd649f43d7fcb764d44f1db0b5c7c05f,"Review of: ""FinFET nanotransistor, the reduction of scale causes more short channel effects, less gate control, an exponential increase in leakage currents, severe process changes, and power densities""",https://doi.org/10.32388/h3qk7b,411
all,FinFET,2023,181bbe2fe31fccb689455b982403878170a980e6,2D fin field-effect transistors integrated with epitaxial high-k gate oxide,https://doi.org/10.1038/s41586-023-05797-z,228
all,CFET,2024,6ae7cb9878af76e1cf1ba6a85a8eed40d1cb14b1,New structure transistors for advanced technology node CMOS ICs,https://doi.org/10.1093/nsr/nwae008,159
all,CFET,2024,c70065bdbc1389be3387885bd0b43d80b9b91763,Van der Waals polarity-engineered 3D integration of 2D complementary logic,https://doi.org/10.1038/s41586-024-07438-5,149
all,CFET,2023,6bd4ed48a5f3b7492273ea3b0d1ee944b38925a0,Complementary Field-Effect Transistor (CFET) Demonstration at 48nm Gate Pitch for Future Logic Technology Scaling,https://doi.org/10.1109/iedm45741.2023.10413672,67
all,EUV,2023,af492dda60335870a8f6ed71d7f1b2fbe79e5e58,Trends in photoresist materials for extreme ultraviolet lithography: A review,https://doi.org/10.1016/j.mattod.2023.05.027,174
all,EUV,2023,35f7532262c605fcb2ac22a44ddc5252c3692fd5,Extreme ultraviolet metalens by vacuum guiding,https://doi.org/10.1126/science.adg6881,127
all,EUV,2024,a4e515bc6239a0b3911d0188957117ef794ad3d6,12-Spin-Qubit Arrays Fabricated on a 300 mm Semiconductor Manufacturing Line,https://doi.org/10.1021/acs.nanolett.4c05205,107
all,HighNA,2023,e51ce5bbf955b72a9bd95a4294d62d92fa5a2fb2,3D-printed multilayer structures for high–numerical aperture achromatic metalenses,https://doi.org/10.1126/sciadv.adj9262,87
all,HighNA,2025,20ec52766cd0e1c8fb85196a04b6bd226613a5d1,Heterogeneous-Interface-Induced Charge Redistribution Toward Fe-Based Polyanion Cathode for Advanced Sodium-Ion Batteries.,https://doi.org/10.1021/jacs.5c02480,79
all,HighNA,2025,05904a708b7408d39725678d9bea0244539ca3b6,Advancements in Lithography Techniques and Emerging Molecular Strategies for Nanostructure Fabrication,https://doi.org/10.3390/ijms26073027,66
all,Node,2024,25ebc7fa98bd43369f8ddd062a3bb530b945c092,"CMOS Scaling for the 5 nm Node and Beyond: Device, Process and Technology",https://doi.org/10.3390/nano14100837,120
all,Node,2023,2015ebd044fa0c13e1db5eae121bf0013b665890,In‐Grain Ferroelectric Switching in Sub‐5 nm Thin Al0.74Sc0.26N Films at 1 V,https://doi.org/10.1002/advs.202302296,88
all,Node,2024,0ece4bc97134ee2eb32282cbf06749e2a04afc58,"Progress in Single/Multi Atoms and 2D‐Nanomaterials for Electro/Photocatalytic Nitrogen Reduction: Experimental, Computational and Machine Leaning Developments",https://doi.org/10.1002/aenm.202304106,81
all,GAA,2024,25ebc7fa98bd43369f8ddd062a3bb530b945c092,"CMOS Scaling for the 5 nm Node and Beyond: Device, Process and Technology",https://doi.org/10.3390/nano14100837,120
all,GAA,2025,26cfb57d0dc77f0f9fda01df441075f722d25aad,Low-power 2D gate-all-around logics via epitaxial monolithic 3D integration,https://doi.org/10.1038/s41563-025-02117-w,81
all,GAA,2024,255662e2be51886ec2aed396b1165c06468be8a7,FinFET to GAA MBCFET: A Review and Insights,https://doi.org/10.1109/ACCESS.2024.3384428,57
all,FeFET,2023,1d3a8bbb668ef92dae881b4d6388b9c67cf1f49a,Scalable CMOS back-end-of-line-compatible AlScN/two-dimensional channel ferroelectric field-effect transistors,https://doi.org/10.1038/s41565-023-01399-y,209
all,FeFET,2024,dee2bed72d736009eba977a4f6a69914dbe81b2e,Ultrafast high-endurance memory based on sliding ferroelectrics,https://doi.org/10.1126/science.adp3575,177
all,FeFET,2024,a39947293ea3682f5d1efe03508c04213e365dab,Giant energy storage and power density negative capacitance superlattices,https://doi.org/10.1038/s41586-024-07365-5,135
all,Neuromorphic,2023,43404df4ea1e51e9c75f0facf2a7dbd7c01923a5,"Neuromorphic sensorimotor loop embodied by monolithically integrated, low-voltage, soft e-skin",https://doi.org/10.1126/science.ade0086,700
all,Neuromorphic,2023,30c21df10d71a6262c7f444797a1ed15a26aaf0e,SpikingJelly: An open-source machine learning infrastructure platform for spike-based intelligence,https://doi.org/10.1126/sciadv.adi1480,558
all,Neuromorphic,2023,d8e3a88b8ae7dde16b03c595d6ec21383e205c78,Lithium niobate photonics: Unlocking the electromagnetic spectrum,https://doi.org/10.1126/science.abj4396,548
all,RRAM,2023,35a8c483ed0641ebbb56da1bd2d0f188b000a8ca,RETROSPECTIVE:PRIME: A Novel Processing-in-memory Architecture for Neural Network Computation in ReRAM-based Main Memory,https://www.semanticscholar.org/paper/35a8c483ed0641ebbb56da1bd2d0f188b000a8ca,683
all,RRAM,2024,2fe421ae6ccb02d854237e0950313c13dee71124,Hardware implementation of memristor-based artificial neural networks,https://doi.org/10.1038/s41467-024-45670-9,476
all,RRAM,2023,a0cf8fe50d5d87a6b5213312244ba224e96e6e13,Thousands of conductance levels in memristors integrated on CMOS,https://doi.org/10.1038/s41586-023-05759-5,451
all,TFET,2023,6638075d6b48b03380109adaba91ca280aa03bb1,Ferroelectric gating of two-dimensional semiconductors for the integration of steep-slope logic and neuromorphic devices,https://doi.org/10.1038/s41928-023-01018-7,133
all,TFET,2024,25ebc7fa98bd43369f8ddd062a3bb530b945c092,"CMOS Scaling for the 5 nm Node and Beyond: Device, Process and Technology",https://doi.org/10.3390/nano14100837,120
all,TFET,2023,2d6be3bf4b8f0278f7b3dba5d094174e66c62036,Spin dynamics in van der Waals magnetic systems,https://doi.org/10.1016/j.physrep.2023.09.002,54
