source,category,concept,label,docs_total,docs_recent,docs_prior,share_recent_pct,share_prior_pct,growth_ratio,delta_pp,slope_pp_per_year,first_year_ge3,peak_year,recent_years,prior_years
all,Advanced packaging,UCIe,UCIe / die-to-die standards,216,139,24,0.05092440619943823,0.009454748830490411,5.210674634296439,0.04146965736894782,0.005235094939694648,2020.0,2025,2023-2025,2020-2022
all,Transistor architecture,BSPDN,Backside power delivery,287,161,52,0.05898438415906154,0.020485289132729224,2.8438937699257734,0.03849909502633232,0.006250577690106153,2018.0,2025,2023-2025,2020-2022
all,Advanced packaging,HybridBonding,Hybrid bonding / SoIC,1738,863,323,0.3163504712888699,0.1273554667467058,2.4794197305112435,0.18899500454216409,0.027362269070432568,2014.0,2024,2023-2025,2020-2022
all,Advanced packaging,Chiplet,Chiplet / disaggregation,3560,1847,713,0.6765252409200189,0.28088482983915264,2.4065775395713187,0.39564041108086623,0.06515068899147614,2014.0,2025,2023-2025,2020-2022
all,Transistor architecture,CFET,CFET (complementary FET),698,349,136,0.12786055945038807,0.05357691003944566,2.3763659184076267,0.07428364941094241,0.01136658843872492,2014.0,2025,2023-2025,2020-2022
all,Advanced packaging,CoWoS,CoWoS,119,65,25,0.023813571244341615,0.00984869669842751,2.363405168990513,0.013964874545914104,0.0023720929056156937,2017.0,2025,2023-2025,2020-2022
all,Lithography & patterning,HighNA,High-NA EUV,730,357,148,0.13079146052661472,0.058304284454690866,2.234912419057299,0.07248717607192386,0.012394427236671831,2014.0,2025,2023-2025,2020-2022
all,Design & compute,RISCV,RISC-V,1247,674,282,0.24692841567209614,0.11109329875826232,2.218391529295447,0.13583511691383382,0.026832123948442387,2017.0,2025,2023-2025,2020-2022
all,Advanced packaging,GlassSubstrate,Glass core / glass substrate,615,231,99,0.08462976857604482,0.03900083892577294,2.1582479146087725,0.04562892965027188,0.0013672011240212114,2014.0,2025,2023-2025,2020-2022
all,Design & compute,DTCO,DTCO / STCO,466,239,103,0.08756066965227148,0.040576630397521345,2.1467751065247116,0.046984039254750136,0.008527485470054766,2015.0,2025,2023-2025,2020-2022
all,Design & compute,Photonic-computing,Photonic / optical computing,1341,679,324,0.2487602288447378,0.12763910921162056,1.946014430928214,0.12112111963311725,0.02482213290538994,2014.0,2025,2023-2025,2020-2022
all,Advanced packaging,HBM,High-bandwidth memory (HBM),1529,701,341,0.25682020680436113,0.13439137566806245,1.9083246448831608,0.12242883113629868,0.025066896462512596,2014.0,2025,2023-2025,2020-2022
all,Memory,CIM,Compute-in-memory / PIM,8184,3959,2153,1.4503051068019293,0.8481815781046153,1.7095697557471037,0.602123528697314,0.15042183203231027,2014.0,2025,2023-2025,2020-2022
all,Materials & power devices,Cryo,Cryogenic CMOS / quantum control,592,286,157,0.1047797134751031,0.06184981526612477,1.689706021091865,0.042929898208978336,0.01145367722022714,2016.0,2025,2023-2025,2020-2022
all,Design & compute,Neuromorphic,Neuromorphic hardware,22909,10167,5777,3.724849205139355,2.275761982977721,1.6366379396613904,1.449087222161634,0.35285674606343664,2014.0,2025,2023-2025,2020-2022
all,Design & compute,AIAccel,AI accelerator / NPU,2312,1114,635,0.4081279748645625,0.25021204884157,1.6301362620865079,0.15791592602299248,0.04430628719878935,2014.0,2025,2023-2025,2020-2022
all,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",11841,4190,2403,1.5348945754881758,0.9466567266528524,1.6211260544563506,0.5882378488353234,0.03970859237991955,2014.0,2025,2023-2025,2020-2022
all,Design & compute,MLforEDA,ML for EDA / chip design,131,59,34,0.02161539543717162,0.013394227509861415,1.59624770515668,0.008221167927310206,0.002523562323447073,2019.0,2024,2023-2025,2020-2022
all,Lithography & patterning,CompLitho,Computational lithography (OPC/ILT/SMO),1459,630,391,0.23089272315879103,0.15415574020246678,1.496519817764804,0.07673698295632425,0.02021934908816087,2014.0,2025,2023-2025,2020-2022
all,Memory,FeRAM,FeRAM / ferroelectric memory,1722,668,458,0.24473023986492615,0.180428123515192,1.355609886878741,0.06430211634973415,0.015547878706132506,2014.0,2023,2023-2025,2020-2022
all,Lithography & patterning,EUV,EUV lithography,4563,1497,1034,0.5484448638889138,0.40734209544696187,1.3460640057591786,0.1411027684419519,0.012641133849195758,2014.0,2025,2023-2025,2020-2022
