source,concept,synonym,year,docs
all,2D-channel,MoS2,2014,105
all,2D-channel,transition metal dichalcogenide,2014,38
all,2D-channel,WSe2,2014,21
all,2D-channel,2D semiconductor,2014,11
all,2D-channel,TMD,2014,10
all,2D-channel,two dimensional semiconductor,2014,10
all,2D-channel,MoSe2,2014,8
all,2D-channel,WS2,2014,8
all,2D-channel,TMDC,2014,4
all,2D-channel,2D channel,2014,1
all,2D-channel,MoS2,2015,100
all,2D-channel,transition metal dichalcogenide,2015,42
all,2D-channel,WSe2,2015,23
all,2D-channel,TMD,2015,11
all,2D-channel,WS2,2015,11
all,2D-channel,MoSe2,2015,8
all,2D-channel,TMDC,2015,7
all,2D-channel,two dimensional semiconductor,2015,6
all,2D-channel,2D channel,2015,3
all,2D-channel,2D semiconductor,2015,3
all,2D-channel,MoS2,2016,86
all,2D-channel,transition metal dichalcogenide,2016,38
all,2D-channel,WSe2,2016,21
all,2D-channel,TMD,2016,18
all,2D-channel,two dimensional semiconductor,2016,10
all,2D-channel,MoSe2,2016,10
all,2D-channel,WS2,2016,7
all,2D-channel,2D semiconductor,2016,4
all,2D-channel,2D channel,2016,3
all,2D-channel,TMDC,2016,1
all,2D-channel,MoS2,2017,78
all,2D-channel,transition metal dichalcogenide,2017,33
all,2D-channel,WSe2,2017,21
all,2D-channel,WS2,2017,14
all,2D-channel,TMD,2017,9
all,2D-channel,TMDC,2017,8
all,2D-channel,MoSe2,2017,7
all,2D-channel,two dimensional semiconductor,2017,6
all,2D-channel,2D semiconductor,2017,4
all,2D-channel,MoS2,2018,125
all,2D-channel,transition metal dichalcogenide,2018,51
all,2D-channel,WSe2,2018,37
all,2D-channel,TMD,2018,29
all,2D-channel,WS2,2018,15
all,2D-channel,TMDC,2018,10
all,2D-channel,two dimensional semiconductor,2018,9
all,2D-channel,MoSe2,2018,8
all,2D-channel,2D semiconductor,2018,8
all,2D-channel,2D channel,2018,2
all,2D-channel,2D material transistor,2018,1
all,2D-channel,MoS2,2019,131
all,2D-channel,transition metal dichalcogenide,2019,74
all,2D-channel,TMD,2019,36
all,2D-channel,WSe2,2019,32
all,2D-channel,WS2,2019,28
all,2D-channel,2D semiconductor,2019,21
all,2D-channel,TMDC,2019,20
