source,year,fetched,in_domain,in_domain_analysed,source_total,scale,abstract_rate,partial_year
all,2014,10000,54786.3744,5312,103137.0,10.3137,0.1209,False
all,2015,10000,55077.7396,5452,101023.0,10.1023,0.1486,False
all,2016,9998,57084.42108421685,5606,101807.0,10.182736547309462,0.15633126625325064,False
all,2017,10000,57757.9259,5617,102827.0,10.2827,0.1828,False
all,2018,9999,73253.68136813681,7240,101169.0,10.117911791179118,0.47684768476847683,False
all,2019,9999,88107.50975097509,8562,102895.0,10.29052905290529,0.7521752175217522,False
all,2020,10000,90339.0211,8887,101653.0,10.1653,0.8037,False
all,2021,10000,84263.3604,8748,96323.0,9.6323,0.7646,False
all,2022,10000,79238.312,9040,87653.0,8.7653,0.7403,False
all,2023,10000,84011.304,9190,91416.0,9.1416,0.781,False
all,2024,10000,90252.2958,9202,98079.0,9.8079,0.7903,False
all,2025,9999,98690.00020002,9197,107296.0,10.73067306730673,0.7805780578057806,False
all,2026,9998,65841.26795359072,9273,70989.0,7.100320064012802,0.7615523104620924,True
arxiv,2014,242,2464.9743,239,2495.9154,10.313699999999999,1.0,False
arxiv,2015,292,2858.9509,283,2949.8716,10.1023,1.0,False
arxiv,2016,319,3115.9173834766952,306,3248.292958591718,10.182736547309462,1.0,False
arxiv,2017,364,3660.6412,356,3742.9028,10.2827,1.0,False
arxiv,2018,459,4563.178217821782,451,4644.121512151215,10.117911791179118,1.0,False
arxiv,2019,547,5484.85198519852,533,5628.919391939194,10.29052905290529,1.0,False
arxiv,2020,741,7339.3466,722,7532.4873,10.1653,1.0,False
arxiv,2021,663,6135.7751,637,6386.2149,9.6323,1.0,False
arxiv,2022,708,6048.057,690,6205.8324,8.7653,1.0,False
arxiv,2023,682,6033.456,660,6234.5712,9.1416,1.0,False
arxiv,2024,686,6512.4456,664,6728.2194,9.8079,1.0,False
arxiv,2025,722,7554.393839383938,704,7747.54595459546,10.730673067306732,1.0,False
arxiv,2026,752,5154.832366473294,726,5339.440688137627,7.100320064012802,1.0,True
ieee,2014,1516,7137.0804,692,15635.5692,10.3137,0.040897097625329816,False
ieee,2015,1661,7718.1572,764,16779.9203,10.102300000000001,0.04394942805538832,False
ieee,2016,1653,7973.082716543308,783,16832.06351270254,10.182736547309462,0.04900181488203267,False
ieee,2017,1591,8041.0714,782,16359.7757,10.2827,0.06913890634820867,False
ieee,2018,1747,14043.661566156616,1388,17675.991899189918,10.117911791179116,0.658271322266743,False
ieee,2019,1745,17535.061506150614,1704,17956.97319731973,10.29052905290529,0.9851002865329513,False
ieee,2020,1647,16396.6289,1613,16742.2491,10.1653,0.9848208864602307,False
ieee,2021,1968,18214.6793,1891,18956.3664,9.632299999999999,0.9603658536585366,False
ieee,2022,2115,18038.9874,2058,18538.6095,8.7653,0.9810874704491725,False
ieee,2023,2364,21153.6624,2314,21610.7424,9.1416,0.9873096446700508,False
ieee,2024,2414,22989.7176,2344,23676.2706,9.8079,0.9776304888152444,False
ieee,2025,2455,25066.852285228524,2336,26343.802380238023,10.73067306730673,0.9405295315682282,False
ieee,2026,2022,13916.627325465093,1960,14356.847169433886,7.100320064012802,0.9268051434223541,True
